Allele	Caucasian	Black	Asian
hla_b_40_04	0.000	0.000	0.000
hla_b_40_05	0.000	0.000	0.000
hla_b_40_06	0.000	0.000	0.015
hla_b_40_07	0.000	0.000	0.000
hla_b_40_08	0.000	0.000	0.000
hla_b_40_09	0.000	0.000	0.000
hla_b_40_10	0.000	0.000	0.000
hla_b_40_11	0.000	0.000	0.000
hla_b_40_12	0.000	0.002	0.000
hla_b_40_13	0.000	0.000	0.000
hla_b_40_14	0.000	0.000	0.001
hla_b_40_15	0.000	0.000	0.000
hla_b_40_16	0.000	0.001	0.000
hla_b_40_18	0.000	0.000	0.000
hla_b_40_19	0.000	0.000	0.000
hla_b_40_20	0.000	0.000	0.000
hla_b_40_21	0.000	0.000	0.000
hla_b_40_22n	0.000	0.000	0.000
hla_b_40_23	0.000	0.000	0.000
hla_b_40_24	0.000	0.000	0.000
hla_b_40_25	0.000	0.000	0.000
hla_b_40_26	0.000	0.000	0.000
hla_b_40_27	0.000	0.000	0.000
hla_b_40_28	0.000	0.000	0.000
hla_b_40_29	0.000	0.000	0.000
hla_b_40_30	0.000	0.000	0.000
hla_b_40_31	0.000	0.000	0.000
hla_b_40_32	0.000	0.000	0.000
hla_b_40_33	0.000	0.000	0.000
hla_b_40_34	0.000	0.000	0.000
hla_b_40_35	0.000	0.000	0.000
hla_b_40_36	0.000	0.000	0.000
hla_b_40_37	0.000	0.000	0.000
hla_b_40_38	0.000	0.000	0.000
hla_b_40_39	0.000	0.000	0.000
hla_b_40_40	0.000	0.000	0.000
hla_b_40_42	0.000	0.000	0.000
hla_b_40_43	0.000	0.000	0.000
hla_b_40_44	0.000	0.000	0.000
hla_b_40_45	0.000	0.000	0.000
hla_b_40_46	0.000	0.000	0.000
hla_b_40_47	0.000	0.000	0.000
hla_b_40_48	0.000	0.000	0.000
hla_b_40_49	0.000	0.000	0.000
hla_b_40_50	0.000	0.000	0.000
hla_b_40_51	0.000	0.000	0.000
hla_b_40_52	0.000	0.000	0.000
hla_b_40_53	0.000	0.000	0.000
hla_b_40_54	0.000	0.000	0.000
hla_b_40_57	0.000	0.000	0.000
hla_b_41_01	0.005	0.006	0.000
hla_b_41_02	0.010	0.006	0.000
hla_b_41_03	0.000	0.001	0.000
hla_b_41_04	0.000	0.000	0.000
hla_b_41_05	0.000	0.000	0.000
hla_b_41_06	0.000	0.000	0.000
hla_b_41_07	0.000	0.000	0.000
hla_b_42_01	0.000	0.057	0.000
hla_b_42_02	0.000	0.006	0.000
hla_b_42_04	0.000	0.000	0.000
hla_b_42_05	0.000	0.000	0.000
hla_b_42_06	0.000	0.000	0.000
hla_b_44_02	0.071	0.014	0.002
hla_b_44_03	0.043	0.046	0.019
hla_b_44_04	0.000	0.000	0.000
hla_b_44_05	0.006	0.000	0.000
hla_b_44_06	0.000	0.000	0.000
hla_b_44_07	0.000	0.001	0.000
hla_b_44_08	0.000	0.000	0.000
hla_b_44_09	0.000	0.000	0.000
hla_b_44_10	0.000	0.003	0.000
hla_b_44_11	0.000	0.000	0.000
hla_b_44_12	0.000	0.000	0.000
hla_b_44_13	0.000	0.000	0.000
hla_b_44_14	0.000	0.000	0.000
hla_b_44_15	0.000	0.001	0.000
hla_b_44_16	0.000	0.000	0.000
hla_b_44_17	0.000	0.000	0.000
hla_b_44_18	0.000	0.000	0.000
hla_b_44_19n	0.000	0.000	0.000
hla_b_44_20	0.000	0.000	0.000
hla_b_44_21	0.000	0.000	0.000
hla_b_44_22	0.000	0.000	0.000
hla_b_44_23n	0.000	0.000	0.000
hla_b_44_24	0.000	0.000	0.000
hla_b_44_25	0.000	0.000	0.000
hla_b_44_26	0.000	0.000	0.000
hla_b_44_27	0.000	0.000	0.000
hla_b_44_28	0.000	0.000	0.000
hla_b_44_29	0.000	0.000	0.000
hla_b_44_30	0.000	0.000	0.000
hla_b_44_31	0.000	0.000	0.000
hla_b_44_32	0.000	0.000	0.000
hla_b_44_33	0.000	0.000	0.000
hla_b_44_34	0.000	0.000	0.000
hla_b_44_35	0.000	0.000	0.000
hla_b_44_36	0.000	0.000	0.000
hla_b_44_37	0.000	0.000	0.000
hla_b_44_38	0.000	0.000	0.000
hla_b_44_39	0.000	0.000	0.000
hla_b_44_40	0.000	0.000	0.000
hla_b_44_41	0.000	0.000	0.000
hla_b_45_01	0.004	0.053	0.000
hla_b_45_02	0.000	0.000	0.000
hla_b_45_03	0.000	0.000	0.000
hla_b_45_04	0.000	0.000	0.000
hla_b_45_05	0.000	0.000	0.000
hla_b_45_06	0.000	0.000	0.000
hla_b_45_07	0.000	0.000	0.000
hla_b_46_01	0.000	0.000	0.082
hla_b_46_02	0.000	0.000	0.000
hla_b_46_03	0.000	0.000	0.000
hla_b_46_04	0.000	0.000	0.000
hla_b_47_01	0.003	0.002	0.000
hla_b_47_02	0.000	0.000	0.000
hla_b_47_03	0.000	0.002	0.000
hla_b_47_04	0.000	0.000	0.000
hla_b_47_05	0.000	0.000	0.000
hla_b_48_01	0.001	0.000	0.021
hla_b_48_02	0.000	0.001	0.000
hla_b_48_03	0.000	0.000	0.002
hla_b_48_04	0.000	0.000	0.000
hla_b_48_05	0.000	0.000	0.000
hla_b_48_06	0.000	0.000	0.000
hla_b_48_07	0.000	0.000	0.000
hla_b_48_08	0.000	0.000	0.000
hla_b_48_10	0.000	0.000	0.000
hla_b_48_11	0.000	0.000	0.000
hla_b_48_12	0.000	0.000	0.000
hla_b_49_01	0.014	0.031	0.000
hla_b_49_02	0.000	0.000	0.000
hla_b_49_03	0.000	0.000	0.000
hla_b_50_01	0.012	0.008	0.001
hla_b_50_02	0.000	0.000	0.000
hla_b_50_04	0.000	0.000	0.000
hla_b_51_01	0.051	0.021	0.040
hla_b_51_02	0.000	0.000	0.005
hla_b_51_03	0.000	0.000	0.000
hla_b_51_04	0.000	0.000	0.000
hla_b_51_05	0.000	0.000	0.000
hla_b_51_06	0.000	0.000	0.000
hla_b_51_07	0.001	0.000	0.001
hla_b_51_08	0.001	0.000	0.000
hla_b_51_09	0.000	0.000	0.000
hla_b_51_10	0.000	0.000	0.000
hla_b_51_11n	0.000	0.000	0.000
hla_b_51_12	0.000	0.000	0.000
hla_b_51_13	0.000	0.000	0.000
hla_b_51_14	0.000	0.000	0.000
hla_b_51_15	0.000	0.000	0.000
hla_b_51_16	0.000	0.000	0.000
hla_b_51_17	0.000	0.000	0.000
hla_b_51_18	0.000	0.000	0.000
hla_b_51_19	0.000	0.000	0.000
hla_b_51_20	0.000	0.000	0.000
hla_b_51_21	0.000	0.000	0.000
hla_b_51_22	0.000	0.000	0.000
hla_b_51_23	0.000	0.000	0.000
hla_b_51_24	0.000	0.000	0.000
hla_b_51_26	0.000	0.000	0.000
hla_b_51_27n	0.000	0.000	0.000
hla_b_51_28	0.000	0.000	0.000
hla_b_51_29	0.000	0.000	0.000
hla_b_51_30	0.000	0.000	0.000
hla_b_51_31	0.000	0.000	0.000
hla_b_51_32	0.000	0.000	0.000
hla_b_51_33	0.000	0.000	0.000
hla_b_51_34	0.000	0.000	0.000
hla_b_51_35	0.000	0.000	0.000
hla_b_51_36	0.000	0.000	0.000
hla_b_51_37	0.000	0.000	0.000
hla_b_52_01	0.012	0.014	0.028
hla_b_52_02	0.000	0.000	0.000
hla_b_52_03	0.000	0.000	0.000
hla_b_52_04	0.000	0.000	0.000
hla_b_52_05	0.000	0.000	0.000
hla_b_52_06	0.000	0.000	0.000
hla_b_52_14	0.000	0.000	0.000
hla_b_53_01	0.003	0.110	0.000
hla_b_53_02	0.000	0.001	0.000
hla_b_53_03	0.000	0.000	0.000
hla_b_53_04	0.000	0.000	0.000
hla_b_53_05	0.000	0.000	0.000
hla_b_53_06	0.000	0.000	0.000
hla_b_53_07	0.000	0.000	0.000
hla_b_53_08	0.000	0.000	0.000
hla_b_53_09	0.000	0.000	0.000
hla_b_53_10	0.000	0.000	0.000
hla_b_54_01	0.000	0.000	0.027
hla_b_54_02	0.000	0.000	0.000
hla_b_54_03	0.000	0.000	0.000
hla_b_54_04	0.000	0.000	0.000
hla_b_54_05n	0.000	0.000	0.000
hla_b_54_06	0.000	0.000	0.000
hla_b_55_01	0.013	0.003	0.002
hla_b_55_02	0.000	0.000	0.022
hla_b_55_03	0.000	0.000	0.000
hla_b_55_04	0.000	0.000	0.001
hla_b_55_05	0.000	0.000	0.000
hla_b_55_07	0.000	0.000	0.000
hla_b_55_08	0.000	0.000	0.000
hla_b_55_09	0.000	0.000	0.000
hla_b_55_10	0.000	0.000	0.000
hla_b_55_11	0.000	0.000	0.000
hla_b_55_12	0.000	0.000	0.000
hla_b_55_13	0.000	0.000	0.000
hla_b_55_14	0.000	0.000	0.000
hla_b_55_15	0.000	0.000	0.000
hla_b_55_16	0.000	0.000	0.000
hla_b_55_17	0.000	0.000	0.000
hla_b_55_18	0.000	0.000	0.000
hla_b_55_19	0.000	0.000	0.000
hla_b_56_01	0.011	0.003	0.010
hla_b_56_02	0.000	0.000	0.000
hla_b_56_03	0.000	0.000	0.001
hla_b_56_04	0.000	0.000	0.001
hla_b_56_05	0.000	0.000	0.000
hla_b_56_06	0.000	0.000	0.000
hla_b_56_07	0.000	0.000	0.000
hla_b_56_08	0.000	0.000	0.000
hla_b_56_09	0.000	0.000	0.000
hla_b_56_10	0.000	0.000	0.000
hla_b_56_11	0.000	0.000	0.000
hla_b_56_12	0.000	0.000	0.000
hla_b_56_13	0.000	0.000	0.000
hla_b_56_14	0.000	0.000	0.000
hla_b_56_15	0.000	0.000	0.000
hla_b_57_01	0.033	0.006	0.003
hla_b_57_02	0.000	0.006	0.000
hla_b_57_03	0.001	0.033	0.000
hla_b_57_04	0.000	0.002	0.000
hla_b_57_05	0.000	0.000	0.000
hla_b_57_06	0.000	0.000	0.000
hla_b_57_07	0.000	0.000	0.000
hla_b_57_08	0.000	0.000	0.000
hla_b_57_09	0.000	0.000	0.000
hla_b_58_01	0.008	0.043	0.045
hla_b_58_02	0.000	0.049	0.000
hla_b_58_04	0.000	0.000	0.000
hla_b_58_05	0.000	0.000	0.000
hla_b_58_06	0.000	0.000	0.000
hla_b_58_07	0.000	0.000	0.000
hla_b_58_08	0.000	0.000	0.000
hla_b_58_09	0.000	0.000	0.000
hla_b_58_10n	0.000	0.000	0.000
hla_b_59_01	0.000	0.000	0.003
hla_b_67_01	0.000	0.000	0.004
hla_b_67_02	0.000	0.000	0.000
hla_b_73_01	0.000	0.001	0.000
hla_b_78_01	0.000	0.011	0.000
hla_b_78_02	0.000	0.000	0.000
hla_b_78_03	0.000	0.000	0.000
hla_b_78_04	0.000	0.000	0.000
hla_b_78_05	0.000	0.000	0.000
hla_b_81_01	0.000	0.022	0.000
hla_b_81_02	0.000	0.000	0.000
hla_b_82_01	0.000	0.002	0.000
hla_b_82_02	0.000	0.001	0.000
hla_b_83_01	0.000	0.000	0.000
hla_c_01_02	0.038	0.008	0.160
hla_c_01_03	0.000	0.000	0.002
hla_c_01_04	0.000	0.000	0.000
hla_c_01_05	0.000	0.000	0.000
hla_c_01_06	0.000	0.000	0.000
hla_c_01_07	0.000	0.000	0.000
hla_c_01_08	0.000	0.000	0.000
hla_c_01_09	0.000	0.000	0.000
hla_c_01_10	0.000	0.000	0.000
hla_c_01_11	0.000	0.000	0.000
hla_c_01_30	0.000	0.000	0.000
hla_c_02_02	0.064	0.072	0.003
hla_c_02_03	0.000	0.000	0.000
hla_c_02_04	0.000	0.000	0.000
hla_c_02_05	0.000	0.000	0.000
hla_c_02_06	0.000	0.000	0.000
hla_c_02_07	0.000	0.000	0.000
hla_c_02_08	0.000	0.000	0.000
hla_c_02_09	0.000	0.000	0.000
hla_c_02_10	0.000	0.009	0.000
hla_c_03_02	0.004	0.020	0.058
hla_c_03_03	0.049	0.011	0.072
hla_c_03_04	0.062	0.053	0.129
hla_c_03_05	0.000	0.000	0.000
hla_c_03_06	0.000	0.000	0.000
hla_c_03_07	0.000	0.000	0.000
hla_c_03_08	0.000	0.000	0.000
hla_c_03_09	0.000	0.000	0.000
hla_c_03_10	0.000	0.000	0.000
hla_c_03_11	0.000	0.000	0.000
hla_c_03_12	0.000	0.000	0.000
hla_c_03_13	0.000	0.000	0.000
hla_c_03_14	0.000	0.000	0.000
hla_c_03_15	0.000	0.000	0.000
hla_c_03_16	0.000	0.000	0.001
hla_c_03_17	0.000	0.000	0.000
hla_c_03_18	0.000	0.000	0.000
hla_c_03_19	0.000	0.000	0.000
hla_c_03_20n	0.000	0.000	0.000
hla_c_04_01	0.121	0.170	0.053
hla_c_04_03	0.000	0.000	0.018
hla_c_04_04	0.000	0.002	0.000
hla_c_04_05	0.000	0.000	0.000
hla_c_04_06	0.000	0.000	0.001
hla_c_04_07	0.000	0.004	0.000
hla_c_04_08	0.000	0.000	0.000
hla_c_04_09n	0.000	0.000	0.000
hla_c_04_10	0.000	0.000	0.000
hla_c_04_11	0.000	0.000	0.000
hla_c_04_12	0.000	0.000	0.000
hla_c_04_13	0.000	0.000	0.000
hla_c_04_14	0.000	0.000	0.000
hla_c_04_15	0.000	0.000	0.000
hla_c_05_01	0.060	0.026	0.003
hla_c_05_03	0.000	0.000	0.000
hla_c_05_04	0.000	0.000	0.000
hla_c_05_05	0.000	0.000	0.000
hla_c_05_06	0.000	0.000	0.000
hla_c_05_07n	0.000	0.000	0.000
hla_c_05_08	0.000	0.000	0.000
hla_c_05_09	0.000	0.000	0.000
hla_c_05_10	0.000	0.000	0.000
hla_c_05_11	0.000	0.000	0.000
hla_c_06_02	0.109	0.115	0.034
hla_c_06_03	0.000	0.000	0.000
hla_c_06_04	0.000	0.000	0.000
hla_c_06_05	0.000	0.000	0.000
hla_c_06_06	0.000	0.000	0.000
hla_c_06_07	0.000	0.000	0.000
hla_c_06_08	0.000	0.000	0.000
hla_c_06_09	0.000	0.000	0.000
hla_c_06_10	0.000	0.000	0.000
hla_c_06_11	0.000	0.000	0.000
hla_c_06_24	0.000	0.000	0.000
hla_c_07_01	0.145	0.127	0.021
hla_c_07_02	0.128	0.060	0.159
hla_c_07_03	0.000	0.000	0.000
hla_c_07_04	0.022	0.015	0.011
hla_c_07_05	0.000	0.002	0.000
hla_c_07_06	0.000	0.000	0.001
hla_c_07_07	0.000	0.000	0.000
hla_c_07_08	0.000	0.000	0.000
hla_c_07_09	0.000	0.000	0.000
hla_c_07_10	0.000	0.000	0.000
hla_c_07_11	0.000	0.000	0.000
hla_c_07_12	0.000	0.000	0.000
hla_c_07_13	0.000	0.000	0.000
hla_c_07_14	0.000	0.000	0.000
hla_c_07_15	0.000	0.000	0.000
hla_c_07_16	0.000	0.000	0.000
hla_c_07_17	0.000	0.000	0.002
hla_c_07_18	0.000	0.002	0.000
hla_c_07_19	0.000	0.000	0.000
hla_c_07_20	0.000	0.000	0.000
hla_c_07_21	0.000	0.000	0.000
hla_c_07_22	0.000	0.000	0.000
hla_c_07_23	0.000	0.000	0.000
hla_c_07_24	0.000	0.000	0.000
hla_c_07_25	0.000	0.000	0.000
hla_c_07_26	0.000	0.000	0.000
hla_c_07_27	0.000	0.000	0.000
hla_c_07_28	0.000	0.000	0.000
hla_c_07_29	0.000	0.000	0.000
hla_c_07_43	0.000	0.000	0.000
hla_c_07_56	0.000	0.000	0.000
hla_c_07_66	0.000	0.000	0.000
hla_c_07_67	0.000	0.000	0.000
hla_c_08_01	0.000	0.002	0.106
hla_c_08_02	0.023	0.039	0.002
hla_c_08_03	0.001	0.000	0.006
hla_c_08_04	0.000	0.010	0.000
hla_c_08_05	0.000	0.000	0.000
hla_c_08_06	0.000	0.000	0.000
hla_c_08_07	0.000	0.000	0.000
hla_c_08_08	0.000	0.000	0.000
hla_c_08_09	0.000	0.000	0.000
hla_c_08_10	0.000	0.000	0.000
hla_c_08_11	0.000	0.000	0.000
hla_c_08_12	0.000	0.000	0.000
hla_c_08_20	0.000	0.000	0.000
hla_c_08_21	0.000	0.000	0.000
hla_c_08_27	0.000	0.000	0.000
hla_c_12_02	0.013	0.002	0.048
hla_c_12_03	0.082	0.017	0.015
hla_c_12_04	0.000	0.000	0.000
hla_c_12_05	0.000	0.000	0.000
hla_c_12_06	0.000	0.000	0.000
hla_c_12_07	0.000	0.000	0.000
hla_c_12_08	0.000	0.000	0.000
hla_c_12_09	0.000	0.000	0.000
hla_c_12_10	0.000	0.000	0.000
hla_c_12_11	0.000	0.000	0.000
hla_c_12_12	0.000	0.000	0.000
hla_c_12_13	0.000	0.000	0.000
hla_c_12_14	0.000	0.000	0.000
hla_c_12_15	0.000	0.000	0.000
hla_c_14_02	0.011	0.012	0.039
hla_c_14_03	0.000	0.004	0.019
hla_c_14_04	0.000	0.000	0.000
hla_c_14_05	0.000	0.000	0.000
hla_c_14_06	0.000	0.000	0.000
hla_c_15_02	0.020	0.005	0.028
hla_c_15_03	0.000	0.000	0.000
hla_c_15_04	0.001	0.000	0.000
hla_c_15_05	0.003	0.011	0.004
hla_c_15_06	0.000	0.000	0.000
hla_c_15_07	0.000	0.000	0.000
hla_c_15_08	0.000	0.000	0.000
hla_c_15_09	0.000	0.000	0.000
hla_c_15_10	0.000	0.000	0.000
hla_c_15_11	0.000	0.000	0.000
hla_c_15_12	0.000	0.000	0.000
hla_c_15_13	0.000	0.000	0.000
hla_c_15_17	0.000	0.000	0.000
hla_c_16_01	0.021	0.096	0.000
hla_c_16_02	0.005	0.001	0.001
hla_c_16_04	0.001	0.000	0.000
hla_c_16_06	0.000	0.000	0.000
hla_c_17_01	0.013	0.075	0.000
hla_c_17_02	0.000	0.000	0.000
hla_c_17_03	0.000	0.000	0.000
hla_c_18_01	0.000	0.030	0.000
hla_c_18_02	0.000	0.000	0.000
