Allele	Caucasian	Black	Asian
hla_a_24_14	0.000	0.000	0.000
hla_a_24_15	0.000	0.000	0.000
hla_a_24_17	0.000	0.000	0.000
hla_a_24_18	0.000	0.000	0.000
hla_a_24_19	0.000	0.000	0.000
hla_a_24_20	0.000	0.000	0.002
hla_a_24_21	0.000	0.000	0.000
hla_a_24_22	0.000	0.000	0.000
hla_a_24_23	0.000	0.000	0.000
hla_a_24_24	0.000	0.000	0.000
hla_a_24_25	0.000	0.000	0.000
hla_a_24_26	0.000	0.000	0.000
hla_a_24_27	0.000	0.000	0.000
hla_a_24_28	0.000	0.000	0.000
hla_a_24_29	0.000	0.000	0.000
hla_a_24_30	0.000	0.000	0.000
hla_a_24_31	0.000	0.000	0.000
hla_a_24_32	0.000	0.000	0.000
hla_a_24_33	0.000	0.000	0.000
hla_a_24_34	0.000	0.000	0.000
hla_a_24_35	0.000	0.000	0.000
hla_a_24_36n	0.000	0.000	0.000
hla_a_24_37	0.000	0.000	0.000
hla_a_24_38	0.000	0.000	0.000
hla_a_24_39	0.000	0.000	0.000
hla_a_24_40n	0.000	0.000	0.000
hla_a_24_41	0.000	0.000	0.000
hla_a_24_42	0.000	0.000	0.000
hla_a_24_43	0.000	0.000	0.000
hla_a_24_44	0.000	0.000	0.000
hla_a_24_45n	0.000	0.000	0.000
hla_a_24_46	0.000	0.000	0.000
hla_a_24_47	0.000	0.000	0.000
hla_a_24_48n	0.000	0.000	0.000
hla_a_24_49	0.000	0.000	0.000
hla_a_24_50	0.000	0.000	0.000
hla_a_24_51	0.000	0.000	0.000
hla_a_25_01	0.039	0.003	0.000
hla_a_25_02	0.000	0.000	0.000
hla_a_25_03	0.000	0.000	0.000
hla_a_25_04	0.000	0.000	0.000
hla_a_26_01	0.040	0.015	0.039
hla_a_26_02	0.000	0.000	0.004
hla_a_26_03	0.000	0.000	0.004
hla_a_26_04	0.000	0.000	0.000
hla_a_26_05	0.000	0.000	0.000
hla_a_26_06	0.000	0.000	0.000
hla_a_26_07	0.000	0.000	0.000
hla_a_26_08	0.001	0.000	0.000
hla_a_26_09	0.000	0.000	0.000
hla_a_26_10	0.000	0.000	0.000
hla_a_26_11n	0.000	0.000	0.000
hla_a_26_12	0.000	0.002	0.000
hla_a_26_13	0.000	0.000	0.000
hla_a_26_14	0.000	0.000	0.000
hla_a_26_15	0.000	0.000	0.000
hla_a_26_16	0.000	0.000	0.000
hla_a_26_17	0.000	0.000	0.000
hla_a_26_18	0.000	0.000	0.000
hla_a_26_19	0.000	0.000	0.000
hla_a_26_20	0.000	0.000	0.000
hla_a_26_21	0.000	0.000	0.000
hla_a_26_22	0.000	0.000	0.000
hla_a_26_23	0.000	0.000	0.000
hla_a_26_24	0.000	0.000	0.000
hla_a_29_01	0.002	0.003	0.004
hla_a_29_02	0.020	0.044	0.000
hla_a_29_03	0.000	0.000	0.000
hla_a_29_04	0.000	0.000	0.000
hla_a_29_05	0.000	0.000	0.000
hla_a_29_06	0.000	0.000	0.000
hla_a_29_07	0.000	0.000	0.000
hla_a_29_08n	0.000	0.000	0.000
hla_a_29_09	0.000	0.000	0.000
hla_a_29_10	0.000	0.000	0.000
hla_a_29_11	0.000	0.000	0.000
hla_a_29_12	0.000	0.000	0.000
hla_a_29_13	0.000	0.000	0.000
hla_a_30_01	0.016	0.065	0.014
hla_a_30_02	0.005	0.066	0.000
hla_a_30_03	0.000	0.000	0.000
hla_a_30_04	0.001	0.004	0.001
hla_a_30_06	0.000	0.000	0.000
hla_a_30_07	0.000	0.000	0.000
hla_a_30_08	0.000	0.000	0.000
hla_a_30_09	0.000	0.000	0.000
hla_a_30_10	0.000	0.000	0.000
hla_a_30_11	0.000	0.000	0.000
hla_a_30_12	0.000	0.000	0.000
hla_a_30_13	0.000	0.000	0.000
hla_a_30_14l	0.000	0.000	0.000
hla_a_30_15	0.000	0.000	0.000
hla_a_31_01	0.024	0.010	0.034
hla_a_31_02	0.000	0.000	0.000
hla_a_31_03	0.000	0.001	0.000
hla_a_31_04	0.000	0.001	0.000
hla_a_31_05	0.000	0.000	0.000
hla_a_31_06	0.000	0.000	0.000
hla_a_31_07	0.000	0.000	0.000
hla_a_31_08	0.000	0.000	0.000
hla_a_31_09	0.000	0.000	0.000
hla_a_31_10	0.000	0.000	0.000
hla_a_31_11	0.000	0.000	0.000
hla_a_31_12	0.000	0.000	0.000
hla_a_32_01	0.032	0.016	0.003
hla_a_32_02	0.000	0.000	0.000
hla_a_32_03	0.000	0.000	0.000
hla_a_32_04	0.000	0.000	0.000
hla_a_32_05	0.000	0.000	0.000
hla_a_32_06	0.000	0.000	0.000
hla_a_32_07	0.000	0.000	0.000
hla_a_32_08	0.000	0.000	0.000
hla_a_32_09	0.000	0.000	0.000
hla_a_33_01	0.007	0.017	0.006
hla_a_33_03	0.004	0.041	0.072
hla_a_33_04	0.000	0.000	0.000
hla_a_33_05	0.000	0.000	0.000
hla_a_33_06	0.000	0.000	0.000
hla_a_33_07	0.000	0.000	0.000
hla_a_34_01	0.000	0.001	0.004
hla_a_34_02	0.001	0.033	0.000
hla_a_34_03	0.000	0.000	0.000
hla_a_34_04	0.000	0.000	0.000
hla_a_34_05	0.000	0.000	0.000
hla_a_34_06	0.000	0.000	0.000
hla_a_36_01	0.000	0.026	0.000
hla_a_36_02	0.000	0.000	0.000
hla_a_36_03	0.000	0.000	0.000
hla_a_36_04	0.000	0.000	0.000
hla_a_43_01	0.000	0.001	0.000
hla_a_66_01	0.006	0.022	0.000
hla_a_66_02	0.000	0.007	0.000
hla_a_66_03	0.000	0.002	0.000
